uor;prefixo;subordinada;nome_dependencia;nome_municipio;uf;lote;predio_nash
22693;4276;00;IBITURUNA           ;GOVERNADOR VALADARES        ;MG;6;0016e9d31a80
8371;1489;00;BALNEARIO CAMBORIU  ;BALNEARIO CAMBORIU          ;SC;2;0050fb28d57d
5303;0729;00;ITAGUAI             ;ITAGUAI                     ;RJ;5;00d8e30f1b3c
3049;0314;00;EMPRESA NOV.HAMBURGO;NOVO HAMBURGO               ;RS;2;00e41c7b7c75
451848;9157;00;ESCR.EXC.N.HAMBURGO ;NOVO HAMBURGO               ;RS;88;00e41c7b7c75
80436;6832;00;CONSELHEIRO CARRAO  ;SAO PAULO                   ;SP;5;00fd8c61f7a4
86933;5880;00;DEMARCHI            ;SAO BERNARDO DO CAMPO       ;SP;5;014a6485835e
9846;1793;00;ANTONIO FRANCISCO   ;CONGONHAS                   ;MG;5;017f5f21637d
1496;0091;00;MADUREIRA           ;RIO DE JANEIRO              ;RJ;88;0180598d1d4c
7008;1182;00;VILHENA             ;VILHENA                     ;RO;5;01ed0cb62338
8152;1432;00;AV.BRASILIA-CURITIBA;CURITIBA                    ;PR;5;02116adc31b6
450055;9105;00;ESCR.EXC.MACAPA     ;MACAPA                      ;AP;88;0245d9094a6c
13362;2877;00;EMPRESA VALE DO ACO ;IPATINGA                    ;MG;4;024f8abc1bed
4890;0647;00;VILA PRUDENTE       ;SAO PAULO                   ;SP;88;02b1fa11cdb7
7365;1234;00;VARADOURO           ;JOAO PESSOA                 ;PB;4;02d53886bffa
75106;4882;00;ESTILO LAGO SUL     ;BRASILIA                    ;DF;88;0334f37aa9e5
8880;1589;00;GUARANTA DO NORTE   ;GUARANTA DO NORTE           ;MT;6;038db96f6c40
6118;0925;00;GUARUJA             ;GUARUJA                     ;SP;5;0413c15b678f
8413;1498;00;BARRA VELHA         ;BARRA VELHA                 ;SC;6;0413d6f92578
6885;1147;00;SIDROLANDIA         ;SIDROLANDIA                 ;MS;5;041ab002d518
6175;0934;00;JABOATAO GUARARAPES ;JABOATAO DOS GUARARAPES     ;PE;5;042682839778
4401;0551;00;RONDONOPOLIS        ;RONDONOPOLIS                ;MT;3;04298bbd0b03
8083;1412;00;PRAIA GRANDE        ;PRAIA GRANDE                ;SP;6;051cfeda0f70
13989;3024;00;NAZARE              ;BELEM                       ;PA;6;05514e2e9271
2016;0166;00;GOVERNADOR VALADARES;GOVERNADOR VALADARES        ;MG;2;055f01c77fbf
6237;0951;00;JI-PARANA           ;JI-PARANA                   ;RO;3;05b1048e9e5f
10842;2071;00;JARDIM-MS           ;JARDIM                      ;MS;5;05ea5e252ef5
2746;0268;00;VOTUPORANGA         ;VOTUPORANGA                 ;SP;3;05ebdb38bf00
18249;6509;00;ALEXANDRINA-S.CARLOS;SAO CARLOS                  ;SP;5;05f695e217c3
7159;1210;00;CRAVINHOS           ;CRAVINHOS                   ;SP;6;06122bdac800
1077;0057;00;SAO JOSE RIO PRETO  ;SAO JOSE DO RIO PRETO       ;SP;5;065812a093a3
7475;1241;00;CARIACICA           ;CARIACICA                   ;ES;5;066e90ceb6e2
2278;0192;00;CAMAQUA             ;CAMAQUA                     ;RS;5;0671ec8dc53e
6062;0916;00;COTIA               ;COTIA                       ;SP;5;069cfe045b74
5036;0680;00;FREDERICO WESTPHALEN;FREDERICO WESTPHALEN        ;RS;6;0815c443862b
5131;0699;00;CAPIVARI            ;CAPIVARI                    ;SP;5;08b1ea057a13
999;0051;00;MACAE               ;MACAE                       ;RJ;2;08f8ad2ec2b7
2771;0273;00;ANDRADINA           ;ANDRADINA                   ;SP;5;0935e0d6859a
670;0030;00;PONTA GROSSA        ;PONTA GROSSA                ;PR;1;098b25e5e40b
5852;0859;00;MAL.CANDIDO RONDON  ;MARECHAL CANDIDO RONDON     ;PR;5;0a563604159d
5506;0766;00;LEME                ;LEME                        ;SP;3;0a5c3ea220f0
4736;0628;00;VIAMAO              ;VIAMAO                      ;RS;5;0b0a4122da20
5145;0704;00;PONTALINA           ;PONTALINA                   ;GO;5;0b3d5207465b
3592;0393;00;BOCAIUVA            ;BOCAIUVA                    ;MG;6;0bf4bffc15b0
8798;1577;00;TELEPORTO           ;RIO DE JANEIRO              ;RJ;5;0c2fd7fdcbe6
4922;0655;00;SAO MATEUS DO SUL   ;SAO MATEUS DO SUL           ;PR;5;0c611ca43bf8
450638;9139;00;ESCR.EXC.LONDRINA   ;LONDRINA                    ;PR;88;0c6a4e621b67
5629;0799;00;ITATIBA             ;ITATIBA                     ;SP;5;0ca84a78e0b1
80445;6841;00;VILA FALCAO-BAURU   ;BAURU                       ;SP;88;0d559701a5ff
5948;0883;00;GRAVATAI            ;GRAVATAI                    ;RS;5;0d57a847f47c
9490;1668;00;UFRN                ;NATAL                       ;RN;5;0da6cf87074f
3240;0341;00;ARARAS              ;ARARAS                      ;SP;5;0e76b1768247
4574;0586;00;XANXERE             ;XANXERE                     ;SC;3;0e96d4f7d48d
1836;0136;00;PALMEIRA DOS INDIOS ;PALMEIRA DOS INDIOS         ;AL;5;0f0944856ee9
1884;0141;00;MARILIA             ;MARILIA                     ;SP;5;0f4667f6c0a5
14519;3164;00;ITAPEMA MEIA PRAIA  ;ITAPEMA                     ;SC;5;0fa01bccb07c
22363;3992;00;VILA VALQUEIRE      ;RIO DE JANEIRO              ;RJ;88;0fe65379ec6e
450569;9206;00;ESCR.EXC.PALMAS     ;PALMAS                      ;TO;88;10c815b60658
6159;0930;00;IPIRA               ;IPIRA                       ;BA;5;10cef71ac092
12078;2517;00;REDENCAO            ;REDENCAO                    ;PA;5;112dabbf22cc
6556;1029;00;BELMONTE            ;BELMONTE                    ;BA;88;113b4874e344
4508;0574;00;PINDAMONHANGABA     ;PINDAMONHANGABA             ;SP;5;119b17778d7e
5054;0683;00;JACAREI             ;JACAREI                     ;SP;4;11ffa5b43c1e
2926;0299;00;GUARAPUAVA          ;GUARAPUAVA                  ;PR;2;1239d272202d
3486;0377;00;FORMOSA             ;FORMOSA                     ;GO;5;13093e2195e3
3941;0459;00;STA.BARBARA D OESTE ;SANTA BARBARA D'OESTE       ;SP;5;13432e2ad57d
3976;0466;00;SAO FRANCISCO DO SUL;SAO FRANCISCO DO SUL        ;SC;6;135b0f5858be
18251;6511;00;CATEDRAL-SOROCABA   ;SOROCABA                    ;SP;3;135e5f8cf310
442540;8251;00;EMPRESA SOROCABANA  ;SOROCABA                    ;SP;2;135e5f8cf310
18243;6503;00;RUA DOUTOR QUIRINO  ;CAMPINAS                    ;SP;2;13cf01c9042d
3389;0361;00;CURRAIS NOVOS       ;CURRAIS NOVOS               ;RN;5;13dcf2071ad4
4349;0542;00;ARAPIRACA           ;ARAPIRACA                   ;AL;5;13ed58c5909f
8343;1483;00;SARANDI             ;SARANDI                     ;PR;5;145a594a908e
6479;1006;00;CUBATAO             ;CUBATAO                     ;SP;5;1479003ab79f
2968;0305;00;ITAJAI              ;ITAJAI                      ;SC;3;148022c35d3d
15346;3384;00;PAULISTA            ;PIRACICABA                  ;SP;5;14ecdf4d6eec
6326;0968;00;PIUMHI              ;PIUMHI                      ;MG;6;1506087697d0
7333;1232;00;BAIRRO DA PEDREIRA  ;BELEM                       ;PA;5;152d88b8b92b
1926;0150;00;CABO FRIO           ;CABO FRIO                   ;RJ;5;15891b54faa3
2352;0206;00;MAFRA               ;MAFRA                       ;SC;5;15b24fd99c19
11259;2226;00;JUINA               ;JUINA                       ;MT;5;16492c5ff7d9
2386;0214;00;ASSU                ;ACU                         ;RN;5;164b9ccb0ec3
6254;0954;00;NAVIRAI             ;NAVIRAI                     ;MS;5;166813c57e59
1730;0123;00;AQUIDAUANA          ;AQUIDAUANA                  ;MS;6;16dafa47fe12
452060;9172;00;ESCR.EXC.ARARAQUARA ;ARARAQUARA                  ;SP;88;17ab80ff59b9
3062;0315;00;TRES RIOS           ;TRES RIOS                   ;RJ;5;18c7de7aa1bf
2406;0217;00;UNIAO DA VITORIA    ;UNIAO DA VITORIA            ;PR;5;18cc00b9c7e9
14408;3130;00;GLORIA              ;VILA VELHA                  ;ES;5;19105387012d
13658;2937;00;EMPRESA TERRA DO SOL;FORTALEZA                   ;CE;2;192cb8705f0c
2378;0212;00;FORMIGA             ;FORMIGA                     ;MG;4;19844bab5090
7169;1212;00;AV.TIRADENTES       ;LONDRINA                    ;PR;4;1a5985552464
3398;0364;00;LAVRAS              ;LAVRAS                      ;MG;3;1a7602280e7a
13609;2925;00;AVENIDA JOSE BASTOS ;FORTALEZA                   ;CE;88;1ad0ddc49b30
2305;0198;00;BARIRI              ;BARIRI                      ;SP;6;1ad32b2fdbbe
86714;5190;00;EST.INV.CAPITAL     ;BRASILIA                    ;DF;88;1ad7705df921
1033;0053;00;FRANCA              ;FRANCA                      ;SP;3;1adec07dd573
450108;9156;00;ESCR.EXC.BOA VISTA  ;BOA VISTA                   ;RR;88;1b435dcd9de1
12345;2617;00;EMPRESA BOA VISTA   ;BOA VISTA                   ;RR;2;1c69e8253803
8244;1452;00;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA        ;GO;5;1c6c56d8d776
3005;0308;00;ITAJUBA             ;ITAJUBA                     ;MG;5;1ca4e59d453d
5003;0674;00;SAO BENTO DO SUL    ;SAO BENTO DO SUL            ;SC;4;1d17e3e773ef
11501;2315;00;ITAIPU              ;NITEROI                     ;RJ;5;1de106502fec
5106;0695;00;CAMPO LARGO         ;CAMPO LARGO                 ;PR;5;1e33c98db069
13914;3004;00;BAIRRO INDUSTRIAL   ;CHAPECO                     ;SC;6;1e8c80f8e8b4
1708;0118;00;ORLANDIA            ;ORLANDIA                    ;SP;5;1e96ef2f42c9
2357;0208;00;TRES LAGOAS         ;TRES LAGOAS                 ;MS;4;1f1b57979f8f
6263;0957;00;PALMEIRA            ;PALMEIRA                    ;PR;5;1fb40c92e436
5415;0751;00;SAO JOAO DE MERITI  ;SAO JOAO DE MERITI          ;RJ;3;1fd5ea8b7e76
4905;0653;00;SAPIRANGA           ;SAPIRANGA                   ;RS;4;202875b68089
3582;0392;00;CINELANDIA          ;RIO DE JANEIRO              ;RJ;3;204ba231bf95
2430;0221;00;RIO VERDE           ;RIO VERDE                   ;GO;6;205968660e1c
75663;5255;00;LAURO LINHARES      ;FLORIANOPOLIS               ;SC;5;2076055ef329
13500;2906;00;AV.OSORIO DE PAIVA  ;FORTALEZA                   ;CE;5;207720596ccd
13066;2815;00;PIRITUBA            ;SAO PAULO                   ;SP;3;20b52916ac22
22836;4323;00;CALHAU              ;SAO LUIS                    ;MA;5;20f80828abf7
9546;1683;00;CACAPAVA            ;CACAPAVA                    ;SP;6;215cd60610f2
6619;1051;00;CRISTALINA          ;CRISTALINA                  ;GO;6;2179451afb10
16766;3777;00;AV.CAP.MOR.GOUVEIA  ;NATAL                       ;RN;5;2191af072a16
8016;1401;00;JARU                ;JARU                        ;RO;5;21c45c1d8b3c
1973;0159;00;CARUARU             ;CARUARU                     ;PE;3;21eb0da47303
6454;1003;00;ASA NORTE 504       ;BRASILIA                    ;DF;1;21f1c40fc936
13917;3005;00;BAIRRO JUNDIAI      ;ANAPOLIS                    ;GO;6;2299633648c5
80198;6594;00;PCA.DR.GAMA-BIRIGUI ;BIRIGUI                     ;SP;5;22cc0d780f33
1177;0068;00;ARCOVERDE           ;ARCOVERDE                   ;PE;5;22ed2c09cd83
760;0035;00;SANTANA LIVRAMENTO  ;SANTANA DO LIVRAMENTO       ;RS;5;22f4e829b375
79863;5750;00;EMPRESA SAO LUIS MA ;SAO LUIS                    ;MA;5;23477ff8d2a7
6537;1022;00;PRACA DO RELOGIO    ;BRASILIA                    ;DF;6;236ca24a0825
3067;0316;00;MANHUACU            ;MANHUACU                    ;MG;4;23a69c855135
80423;6819;00;TIRADENTES-SAO PAULO;SAO PAULO                   ;SP;1;23cf07f69ec8
11599;2354;00;NOVA SERRANA        ;NOVA SERRANA                ;MG;5;244aad31730f
6314;0964;00;PIEDADE             ;PIEDADE                     ;SP;5;246b6531b266
4133;0496;00;INHUMAS             ;INHUMAS                     ;GO;5;24e55d204f6a
4199;0508;00;UNAI                ;UNAI                        ;MG;3;2501b00cc1fe
612;0026;00;CARANGOLA           ;CARANGOLA                   ;MG;5;2520b385bd88
2308;0199;00;ITAPETININGA        ;ITAPETININGA                ;SP;4;25c727fac29e
11672;2365;00;OLINDA              ;OLINDA                      ;PE;3;260bfff78fa1
14389;3128;00;MARIA QUITERIA      ;FEIRA DE SANTANA            ;BA;5;2618aaeb2080
80291;6687;00;PITANGUEIRAS-GUARUJA;GUARUJA                     ;SP;5;268ba9b5a8b2
87307;8177;00;GENERAL SAMPAIO     ;GENERAL SAMPAIO             ;CE;88;276ad53be19b
2461;0224;00;CORNELIO PROCOPIO   ;CORNELIO PROCOPIO           ;PR;5;27893d4818a0
14688;3205;00;MANOEL HONORIO      ;JUIZ DE FORA                ;MG;6;28838b64de3a
4745;0630;00;LAPA                ;LAPA                        ;PR;5;288c707cbd79
3316;0351;00;BATATAIS            ;BATATAIS                    ;SP;5;28a2c9a6310d
3743;0416;00;TAQUARA             ;TAQUARA                     ;RS;5;28a46bf64466
3391;0362;00;PALMEIRA DAS MISSOES;PALMEIRA DAS MISSOES        ;RS;5;28b0b64814e7
3295;0347;00;PENAPOLIS           ;PENAPOLIS                   ;SP;5;2909389f3e34
2053;0171;00;ITAPIRA             ;ITAPIRA                     ;SP;5;2943ab81ebf8
6052;0912;00;COLORADO            ;COLORADO                    ;PR;5;294a266930d4
13464;2899;00;ALCANTARA           ;SAO GONCALO                 ;RJ;4;295115714a6a
1716;0121;00;ARACATI             ;ARACATI                     ;CE;5;29dfeaf9ff51
8237;1451;00;APARECIDA           ;APARECIDA                   ;SP;5;2a9d2a7f320f
14111;3053;00;ADRIANOPOLIS        ;MANAUS                      ;AM;5;2aa059e61b9a
4459;0565;00;MARABA              ;MARABA                      ;PA;3;2aaf94bc0d24
15066;3290;00;PRIMAVERA DO LESTE  ;PRIMAVERA DO LESTE          ;MT;5;2ae28c7254c3
14007;3028;00;PELINCA             ;CAMPOS DOS GOYTACAZES       ;RJ;5;2b06bfcb8484
80486;6882;00;OITO DE SETEMBRO    ;ITAQUAQUECETUBA             ;SP;6;2b2009ee5358
450096;9127;00;ESCR.EXC.PANTANAL   ;CAMPO GRANDE                ;MS;88;2bb48b0302a6
11341;2256;00;MACAIBA             ;MACAIBA                     ;RN;5;2bc60a7fdaf2
3427;0368;00;POUSO ALEGRE        ;POUSO ALEGRE                ;MG;3;2bd41b162dfe
85565;5960;00;SEC.DA SAUDE-SP     ;SAO PAULO                   ;SP;5;2befdc69cf29
9660;1726;00;CANDEIAS-BA         ;CANDEIAS                    ;BA;5;2d77381736a3
5163;0709;00;PANAMBI             ;PANAMBI                     ;RS;5;2dae010b9532
8882;1590;00;SAPEZAL             ;SAPEZAL                     ;MT;4;2e297dd5070a
